sample_id,population,super_population
ind_2471,"Gujarati Indians in Houston, TX",SAS
ind_144,Finnish in Finland,EUR
ind_2350,Toscani in Italy,EUR
ind_817,"Chinese Dai in Xishuangbanna, China",EAS
ind_882,"Peruvian in Lima, Peru",AMR
ind_1935,"Japanese in Tokyo, Japan",EAS
ind_350,Puerto Rican in Puerto Rico,AMR
ind_2234,"Mexican Ancestry in Los Angeles, California",AMR
ind_1839,"Han Chinese in Beijing, China",EAS
ind_1654,Indian Telugu in the UK,SAS
ind_1227,Esan in Nigeria,AFR
ind_2463,"Gujarati Indians in Houston, TX",SAS
ind_389,Puerto Rican in Puerto Rico,AMR
ind_357,Puerto Rican in Puerto Rico,AMR
ind_1348,Bengali in Bangladesh,SAS
ind_789,"Peruvian in Lima, Peru",AMR
ind_1045,"Punjabi in Lahore, Pakistan",SAS
ind_1546,Sri Lankan Tamil in the UK,SAS
ind_1601,Indian Telugu in the UK,SAS
ind_1349,Bengali in Bangladesh,SAS
ind_1508,Sri Lankan Tamil in the UK,SAS
ind_2488,"Gujarati Indians in Houston, TX",SAS
ind_1076,"Punjabi in Lahore, Pakistan",SAS
ind_637,"Chinese Dai in Xishuangbanna, China",EAS
ind_1059,"Punjabi in Lahore, Pakistan",SAS
ind_2089,"Luhya in Webuye, Kenya",AFR
ind_1404,Sri Lankan Tamil in the UK,SAS
ind_300,Puerto Rican in Puerto Rico,AMR
ind_1375,"Punjabi in Lahore, Pakistan",SAS
ind_690,"Peruvian in Lima, Peru",AMR
ind_2408,"Gujarati Indians in Houston, TX",SAS
ind_1547,Sri Lankan Tamil in the UK,SAS
ind_692,"Peruvian in Lima, Peru",AMR
ind_2445,"Gujarati Indians in Houston, TX",SAS
ind_961,"Punjabi in Lahore, Pakistan",SAS
ind_83,British in England and Scotland,EUR
ind_1719,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_900,"Chinese Dai in Xishuangbanna, China",EAS
ind_1453,Indian Telugu in the UK,SAS
ind_941,African Caribbean in Barbados,AFR
ind_1565,Sri Lankan Tamil in the UK,SAS
ind_1631,Bengali in Bangladesh,SAS
ind_2411,"Gujarati Indians in Houston, TX",SAS
ind_915,"Chinese Dai in Xishuangbanna, China",EAS
ind_747,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_696,"Peruvian in Lima, Peru",AMR
ind_2236,"Mexican Ancestry in Los Angeles, California",AMR
ind_1049,"Punjabi in Lahore, Pakistan",SAS
ind_2406,"Gujarati Indians in Houston, TX",SAS
ind_1616,Bengali in Bangladesh,SAS
ind_1095,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2477,"Gujarati Indians in Houston, TX",SAS
ind_457,"Colombian in Medellin, Colombia",AMR
ind_2170,"Mexican Ancestry in Los Angeles, California",AMR
ind_428,Puerto Rican in Puerto Rico,AMR
ind_2175,"Mexican Ancestry in Los Angeles, California",AMR
ind_1243,"Punjabi in Lahore, Pakistan",SAS
ind_2233,"Mexican Ancestry in Los Angeles, California",AMR
ind_173,Finnish in Finland,EUR
ind_500,"Colombian in Medellin, Colombia",AMR
ind_2241,"Mexican Ancestry in Los Angeles, California",AMR
ind_361,Puerto Rican in Puerto Rico,AMR
ind_2181,"Mexican Ancestry in Los Angeles, California",AMR
ind_2258,African Ancestry in Southwest US,AFR
ind_1624,Bengali in Bangladesh,SAS
ind_2183,"Mexican Ancestry in Los Angeles, California",AMR
ind_1787,"Han Chinese in Beijing, China",EAS
ind_2407,"Gujarati Indians in Houston, TX",SAS
ind_1380,Sri Lankan Tamil in the UK,SAS
ind_697,"Peruvian in Lima, Peru",AMR
ind_2220,"Mexican Ancestry in Los Angeles, California",AMR
ind_618,"Chinese Dai in Xishuangbanna, China",EAS
ind_1573,Indian Telugu in the UK,SAS
ind_1853,"Han Chinese in Beijing, China",EAS
ind_2229,"Mexican Ancestry in Los Angeles, California",AMR
ind_1279,Mende in Sierra Leone,AFR
ind_1681,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_539,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1532,Bengali in Bangladesh,SAS
ind_460,Puerto Rican in Puerto Rico,AMR
ind_1520,Bengali in Bangladesh,SAS
ind_489,"Colombian in Medellin, Colombia",AMR
ind_1599,Indian Telugu in the UK,SAS
ind_2457,"Gujarati Indians in Houston, TX",SAS
ind_2207,"Mexican Ancestry in Los Angeles, California",AMR
ind_1447,Indian Telugu in the UK,SAS
ind_1078,"Punjabi in Lahore, Pakistan",SAS
ind_2210,"Mexican Ancestry in Los Angeles, California",AMR
ind_1823,"Han Chinese in Beijing, China",EAS
ind_2171,"Mexican Ancestry in Los Angeles, California",AMR
ind_1360,"Punjabi in Lahore, Pakistan",SAS
ind_1041,"Punjabi in Lahore, Pakistan",SAS
ind_377,"Colombian in Medellin, Colombia",AMR
ind_463,Puerto Rican in Puerto Rico,AMR
ind_859,"Peruvian in Lima, Peru",AMR
ind_2404,"Gujarati Indians in Houston, TX",SAS
ind_2466,"Gujarati Indians in Houston, TX",SAS
ind_1240,"Punjabi in Lahore, Pakistan",SAS
ind_1843,"Han Chinese in Beijing, China",EAS
ind_1642,Indian Telugu in the UK,SAS
ind_1833,"Han Chinese in Beijing, China",EAS
ind_947,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2305,Toscani in Italy,EUR
ind_1613,Bengali in Bangladesh,SAS
ind_2182,"Mexican Ancestry in Los Angeles, California",AMR
ind_852,"Peruvian in Lima, Peru",AMR
ind_2446,"Gujarati Indians in Houston, TX",SAS
ind_1242,"Punjabi in Lahore, Pakistan",SAS
ind_1476,Bengali in Bangladesh,SAS
ind_2240,"Mexican Ancestry in Los Angeles, California",AMR
ind_1648,Indian Telugu in the UK,SAS
ind_853,"Peruvian in Lima, Peru",AMR
ind_1511,Sri Lankan Tamil in the UK,SAS
ind_1597,Sri Lankan Tamil in the UK,SAS
ind_236,Han Chinese South,EAS
ind_1602,Indian Telugu in the UK,SAS
ind_1154,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_491,"Colombian in Medellin, Colombia",AMR
ind_2215,"Mexican Ancestry in Los Angeles, California",AMR
ind_1478,Sri Lankan Tamil in the UK,SAS
ind_1319,"Punjabi in Lahore, Pakistan",SAS
ind_397,Puerto Rican in Puerto Rico,AMR
ind_2219,"Mexican Ancestry in Los Angeles, California",AMR
ind_1480,Sri Lankan Tamil in the UK,SAS
ind_2211,"Mexican Ancestry in Los Angeles, California",AMR
ind_456,"Colombian in Medellin, Colombia",AMR
ind_440,"Colombian in Medellin, Colombia",AMR
ind_1515,Sri Lankan Tamil in the UK,SAS
ind_1454,Indian Telugu in the UK,SAS
ind_682,"Peruvian in Lima, Peru",AMR
ind_2444,"Gujarati Indians in Houston, TX",SAS
ind_1388,Sri Lankan Tamil in the UK,SAS
ind_238,Han Chinese South,EAS
ind_1047,"Punjabi in Lahore, Pakistan",SAS
ind_2311,Toscani in Italy,EUR
ind_2419,"Gujarati Indians in Houston, TX",SAS
ind_1581,Indian Telugu in the UK,SAS
ind_366,"Colombian in Medellin, Colombia",AMR
ind_1595,Indian Telugu in the UK,SAS
ind_1415,Indian Telugu in the UK,SAS
ind_2503,"Gujarati Indians in Houston, TX",SAS
ind_403,Puerto Rican in Puerto Rico,AMR
ind_1998,"Japanese in Tokyo, Japan",EAS
ind_1150,"Punjabi in Lahore, Pakistan",SAS
ind_1584,Sri Lankan Tamil in the UK,SAS
ind_1489,Sri Lankan Tamil in the UK,SAS
ind_956,African Caribbean in Barbados,AFR
ind_1390,Sri Lankan Tamil in the UK,SAS
ind_970,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_878,"Peruvian in Lima, Peru",AMR
ind_1890,"Yoruba in Ibadan, Nigeria",AFR
ind_1468,Bengali in Bangladesh,SAS
ind_2465,"Gujarati Indians in Houston, TX",SAS
ind_1496,Indian Telugu in the UK,SAS
ind_722,"Peruvian in Lima, Peru",AMR
ind_525,"Colombian in Medellin, Colombia",AMR
ind_815,"Peruvian in Lima, Peru",AMR
ind_1943,"Japanese in Tokyo, Japan",EAS
ind_304,Puerto Rican in Puerto Rico,AMR
ind_1486,Sri Lankan Tamil in the UK,SAS
ind_1364,"Punjabi in Lahore, Pakistan",SAS
ind_2214,"Mexican Ancestry in Los Angeles, California",AMR
ind_1412,Indian Telugu in the UK,SAS
ind_1817,"Han Chinese in Beijing, China",EAS
ind_282,Han Chinese South,EAS
ind_2452,"Gujarati Indians in Houston, TX",SAS
ind_1594,Indian Telugu in the UK,SAS
ind_1633,Bengali in Bangladesh,SAS
ind_490,"Colombian in Medellin, Colombia",AMR
ind_426,Puerto Rican in Puerto Rico,AMR
ind_2460,"Gujarati Indians in Houston, TX",SAS
ind_705,"Peruvian in Lima, Peru",AMR
ind_861,"Peruvian in Lima, Peru",AMR
ind_386,Puerto Rican in Puerto Rico,AMR
ind_311,"Chinese Dai in Xishuangbanna, China",EAS
ind_391,Puerto Rican in Puerto Rico,AMR
ind_1435,"Punjabi in Lahore, Pakistan",SAS
ind_2469,"Gujarati Indians in Houston, TX",SAS
ind_482,"Colombian in Medellin, Colombia",AMR
ind_1621,Bengali in Bangladesh,SAS
ind_1463,Bengali in Bangladesh,SAS
ind_691,"Peruvian in Lima, Peru",AMR
ind_1652,Sri Lankan Tamil in the UK,SAS
ind_530,"Peruvian in Lima, Peru",AMR
ind_1514,Sri Lankan Tamil in the UK,SAS
ind_2174,"Mexican Ancestry in Los Angeles, California",AMR
ind_1027,"Punjabi in Lahore, Pakistan",SAS
ind_1623,Bengali in Bangladesh,SAS
ind_1464,Bengali in Bangladesh,SAS
ind_359,Puerto Rican in Puerto Rico,AMR
ind_2409,"Gujarati Indians in Houston, TX",SAS
ind_1479,Sri Lankan Tamil in the UK,SAS
ind_1541,Sri Lankan Tamil in the UK,SAS
ind_1628,Bengali in Bangladesh,SAS
ind_725,"Peruvian in Lima, Peru",AMR
ind_1372,"Punjabi in Lahore, Pakistan",SAS
ind_1608,Sri Lankan Tamil in the UK,SAS
ind_496,"Colombian in Medellin, Colombia",AMR
ind_1588,Sri Lankan Tamil in the UK,SAS
ind_2495,"Gujarati Indians in Houston, TX",SAS
ind_1914,"Japanese in Tokyo, Japan",EAS
ind_706,"Peruvian in Lima, Peru",AMR
ind_2418,"Gujarati Indians in Houston, TX",SAS
ind_1528,Bengali in Bangladesh,SAS
ind_584,Iberian populations in Spain,EUR
ind_134,Finnish in Finland,EUR
ind_346,Puerto Rican in Puerto Rico,AMR
ind_2424,"Gujarati Indians in Houston, TX",SAS
ind_2200,"Mexican Ancestry in Los Angeles, California",AMR
ind_437,"Colombian in Medellin, Colombia",AMR
ind_1569,Indian Telugu in the UK,SAS
ind_2455,"Gujarati Indians in Houston, TX",SAS
ind_1598,Indian Telugu in the UK,SAS
ind_1368,Sri Lankan Tamil in the UK,SAS
ind_1459,Bengali in Bangladesh,SAS
ind_1700,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_483,"Colombian in Medellin, Colombia",AMR
ind_1632,Bengali in Bangladesh,SAS
ind_1482,Sri Lankan Tamil in the UK,SAS
ind_476,"Colombian in Medellin, Colombia",AMR
ind_1111,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1855,"Han Chinese in Beijing, China",EAS
ind_2199,"Mexican Ancestry in Los Angeles, California",AMR
ind_1465,Bengali in Bangladesh,SAS
ind_1450,Indian Telugu in the UK,SAS
ind_1046,"Punjabi in Lahore, Pakistan",SAS
ind_344,Puerto Rican in Puerto Rico,AMR
ind_453,"Colombian in Medellin, Colombia",AMR
ind_1513,Sri Lankan Tamil in the UK,SAS
ind_1145,Bengali in Bangladesh,SAS
ind_380,Puerto Rican in Puerto Rico,AMR
ind_467,Puerto Rican in Puerto Rico,AMR
ind_1061,"Punjabi in Lahore, Pakistan",SAS
ind_707,"Peruvian in Lima, Peru",AMR
ind_1001,"Punjabi in Lahore, Pakistan",SAS
ind_1379,Sri Lankan Tamil in the UK,SAS
ind_1757,"Yoruba in Ibadan, Nigeria",AFR
ind_735,"Peruvian in Lima, Peru",AMR
ind_2301,Toscani in Italy,EUR
ind_411,"Colombian in Medellin, Colombia",AMR
ind_1516,Sri Lankan Tamil in the UK,SAS
ind_484,"Colombian in Medellin, Colombia",AMR
ind_526,"Colombian in Medellin, Colombia",AMR
ind_663,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_909,"Chinese Dai in Xishuangbanna, China",EAS
ind_1925,"Japanese in Tokyo, Japan",EAS
ind_629,"Chinese Dai in Xishuangbanna, China",EAS
ind_2413,"Gujarati Indians in Houston, TX",SAS
ind_488,"Colombian in Medellin, Colombia",AMR
ind_1615,Bengali in Bangladesh,SAS
ind_1507,Sri Lankan Tamil in the UK,SAS
ind_1519,Bengali in Bangladesh,SAS
ind_1350,Bengali in Bangladesh,SAS
ind_2422,"Gujarati Indians in Houston, TX",SAS
ind_1029,"Punjabi in Lahore, Pakistan",SAS
ind_715,"Peruvian in Lima, Peru",AMR
ind_1622,Bengali in Bangladesh,SAS
ind_1037,"Punjabi in Lahore, Pakistan",SAS
ind_442,"Colombian in Medellin, Colombia",AMR
ind_1351,Bengali in Bangladesh,SAS
ind_1056,"Punjabi in Lahore, Pakistan",SAS
ind_431,Puerto Rican in Puerto Rico,AMR
ind_877,"Peruvian in Lima, Peru",AMR
ind_1000,"Punjabi in Lahore, Pakistan",SAS
