sample_id,population,super_population
ind_1693,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_96,British in England and Scotland,EUR
ind_147,Finnish in Finland,EUR
ind_551,Iberian populations in Spain,EUR
ind_564,Iberian populations in Spain,EUR
ind_597,Iberian populations in Spain,EUR
ind_511,Iberian populations in Spain,EUR
ind_1753,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1696,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_574,Iberian populations in Spain,EUR
ind_2338,Toscani in Italy,EUR
ind_11,British in England and Scotland,EUR
ind_6,British in England and Scotland,EUR
ind_2297,Toscani in Italy,EUR
ind_588,Iberian populations in Spain,EUR
ind_847,Iberian populations in Spain,EUR
ind_100,British in England and Scotland,EUR
ind_1707,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_2298,Toscani in Italy,EUR
ind_1682,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1656,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_26,British in England and Scotland,EUR
ind_77,British in England and Scotland,EUR
ind_1723,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_612,Iberian populations in Spain,EUR
ind_549,Iberian populations in Spain,EUR
ind_2296,Toscani in Italy,EUR
ind_95,British in England and Scotland,EUR
ind_513,Iberian populations in Spain,EUR
ind_524,Iberian populations in Spain,EUR
ind_802,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1953,"Japanese in Tokyo, Japan",EAS
ind_810,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_809,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_771,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_2025,"Japanese in Tokyo, Japan",EAS
ind_1909,"Japanese in Tokyo, Japan",EAS
ind_1938,"Japanese in Tokyo, Japan",EAS
ind_1921,"Japanese in Tokyo, Japan",EAS
ind_272,Han Chinese South,EAS
ind_203,Han Chinese South,EAS
ind_1927,"Japanese in Tokyo, Japan",EAS
ind_237,Han Chinese South,EAS
ind_196,Han Chinese South,EAS
ind_1969,"Japanese in Tokyo, Japan",EAS
ind_1924,"Japanese in Tokyo, Japan",EAS
ind_779,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_260,Han Chinese South,EAS
ind_1774,"Han Chinese in Beijing, China",EAS
ind_2016,"Japanese in Tokyo, Japan",EAS
ind_1795,"Han Chinese in Beijing, China",EAS
ind_1942,"Japanese in Tokyo, Japan",EAS
ind_1831,"Han Chinese in Beijing, China",EAS
ind_232,Han Chinese South,EAS
ind_922,"Chinese Dai in Xishuangbanna, China",EAS
ind_1785,"Han Chinese in Beijing, China",EAS
ind_1775,"Han Chinese in Beijing, China",EAS
ind_240,Han Chinese South,EAS
ind_640,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1815,"Han Chinese in Beijing, China",EAS
ind_825,"Chinese Dai in Xishuangbanna, China",EAS
ind_1946,"Japanese in Tokyo, Japan",EAS
ind_622,"Chinese Dai in Xishuangbanna, China",EAS
ind_749,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_760,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_910,"Chinese Dai in Xishuangbanna, China",EAS
ind_1915,"Japanese in Tokyo, Japan",EAS
ind_2000,"Japanese in Tokyo, Japan",EAS
ind_241,Han Chinese South,EAS
ind_262,Han Chinese South,EAS
ind_213,Han Chinese South,EAS
ind_969,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_218,Han Chinese South,EAS
ind_907,"Chinese Dai in Xishuangbanna, China",EAS
ind_668,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_283,Han Chinese South,EAS
ind_835,"Chinese Dai in Xishuangbanna, China",EAS
ind_782,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1830,"Han Chinese in Beijing, China",EAS
ind_277,Han Chinese South,EAS
ind_751,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1777,"Han Chinese in Beijing, China",EAS
ind_932,"Chinese Dai in Xishuangbanna, China",EAS
ind_2024,"Japanese in Tokyo, Japan",EAS
ind_1955,"Japanese in Tokyo, Japan",EAS
ind_252,Han Chinese South,EAS
ind_245,Han Chinese South,EAS
ind_1929,"Japanese in Tokyo, Japan",EAS
ind_757,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_777,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_314,"Chinese Dai in Xishuangbanna, China",EAS
ind_2005,"Japanese in Tokyo, Japan",EAS
ind_826,"Chinese Dai in Xishuangbanna, China",EAS
ind_804,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_239,Han Chinese South,EAS
ind_193,Han Chinese South,EAS
ind_1936,"Japanese in Tokyo, Japan",EAS
ind_1865,"Han Chinese in Beijing, China",EAS
ind_914,"Chinese Dai in Xishuangbanna, China",EAS
ind_1832,"Han Chinese in Beijing, China",EAS
ind_912,"Chinese Dai in Xishuangbanna, China",EAS
ind_1920,"Japanese in Tokyo, Japan",EAS
ind_625,"Chinese Dai in Xishuangbanna, China",EAS
ind_799,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_248,Han Chinese South,EAS
ind_1835,"Han Chinese in Beijing, China",EAS
ind_261,Han Chinese South,EAS
ind_1968,"Japanese in Tokyo, Japan",EAS
ind_1838,"Han Chinese in Beijing, China",EAS
ind_806,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1811,"Han Chinese in Beijing, China",EAS
ind_921,"Chinese Dai in Xishuangbanna, China",EAS
ind_1791,"Han Chinese in Beijing, China",EAS
ind_1827,"Han Chinese in Beijing, China",EAS
ind_190,Han Chinese South,EAS
ind_2022,"Japanese in Tokyo, Japan",EAS
ind_201,Han Chinese South,EAS
ind_1947,"Japanese in Tokyo, Japan",EAS
ind_186,Han Chinese South,EAS
ind_223,Han Chinese South,EAS
ind_832,"Chinese Dai in Xishuangbanna, China",EAS
ind_650,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_750,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1871,"Han Chinese in Beijing, China",EAS
ind_307,"Chinese Dai in Xishuangbanna, China",EAS
ind_1876,"Han Chinese in Beijing, China",EAS
ind_221,Han Chinese South,EAS
ind_264,Han Chinese South,EAS
ind_255,Han Chinese South,EAS
ind_768,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_872,"Peruvian in Lima, Peru",AMR
ind_2176,"Mexican Ancestry in Los Angeles, California",AMR
ind_734,"Peruvian in Lima, Peru",AMR
ind_424,Puerto Rican in Puerto Rico,AMR
ind_2202,"Mexican Ancestry in Los Angeles, California",AMR
ind_371,"Colombian in Medellin, Colombia",AMR
ind_352,Puerto Rican in Puerto Rico,AMR
ind_480,"Colombian in Medellin, Colombia",AMR
ind_710,"Peruvian in Lima, Peru",AMR
ind_2208,"Mexican Ancestry in Los Angeles, California",AMR
ind_528,"Peruvian in Lima, Peru",AMR
ind_2213,"Mexican Ancestry in Los Angeles, California",AMR
ind_356,Puerto Rican in Puerto Rico,AMR
ind_702,"Peruvian in Lima, Peru",AMR
ind_699,"Peruvian in Lima, Peru",AMR
ind_2197,"Mexican Ancestry in Los Angeles, California",AMR
ind_856,"Peruvian in Lima, Peru",AMR
ind_441,"Colombian in Medellin, Colombia",AMR
ind_266,Puerto Rican in Puerto Rico,AMR
ind_370,"Colombian in Medellin, Colombia",AMR
ind_438,"Colombian in Medellin, Colombia",AMR
ind_469,Puerto Rican in Puerto Rico,AMR
ind_2209,"Mexican Ancestry in Los Angeles, California",AMR
ind_338,Puerto Rican in Puerto Rico,AMR
ind_399,Puerto Rican in Puerto Rico,AMR
ind_704,"Peruvian in Lima, Peru",AMR
ind_305,Puerto Rican in Puerto Rico,AMR
ind_385,Puerto Rican in Puerto Rico,AMR
ind_376,"Colombian in Medellin, Colombia",AMR
ind_738,"Peruvian in Lima, Peru",AMR
ind_487,"Colombian in Medellin, Colombia",AMR
ind_493,"Colombian in Medellin, Colombia",AMR
ind_473,"Colombian in Medellin, Colombia",AMR
ind_360,Puerto Rican in Puerto Rico,AMR
ind_701,"Peruvian in Lima, Peru",AMR
ind_398,Puerto Rican in Puerto Rico,AMR
ind_302,Puerto Rican in Puerto Rico,AMR
ind_733,"Peruvian in Lima, Peru",AMR
ind_862,"Peruvian in Lima, Peru",AMR
ind_873,"Peruvian in Lima, Peru",AMR
ind_413,"Colombian in Medellin, Colombia",AMR
ind_267,Puerto Rican in Puerto Rico,AMR
ind_698,"Peruvian in Lima, Peru",AMR
ind_464,Puerto Rican in Puerto Rico,AMR
ind_414,"Colombian in Medellin, Colombia",AMR
ind_404,Puerto Rican in Puerto Rico,AMR
ind_369,"Colombian in Medellin, Colombia",AMR
ind_864,"Peruvian in Lima, Peru",AMR
ind_458,"Colombian in Medellin, Colombia",AMR
ind_2218,"Mexican Ancestry in Los Angeles, California",AMR
ind_455,"Colombian in Medellin, Colombia",AMR
ind_499,"Colombian in Medellin, Colombia",AMR
ind_345,Puerto Rican in Puerto Rico,AMR
ind_298,Puerto Rican in Puerto Rico,AMR
ind_2179,"Mexican Ancestry in Los Angeles, California",AMR
ind_451,"Colombian in Medellin, Colombia",AMR
ind_529,"Peruvian in Lima, Peru",AMR
ind_439,"Colombian in Medellin, Colombia",AMR
ind_2185,"Mexican Ancestry in Los Angeles, California",AMR
ind_681,"Peruvian in Lima, Peru",AMR
ind_348,Puerto Rican in Puerto Rico,AMR
ind_321,Puerto Rican in Puerto Rico,AMR
ind_466,Puerto Rican in Puerto Rico,AMR
ind_329,Puerto Rican in Puerto Rico,AMR
ind_333,Puerto Rican in Puerto Rico,AMR
ind_382,Puerto Rican in Puerto Rico,AMR
ind_412,"Colombian in Medellin, Colombia",AMR
ind_495,"Colombian in Medellin, Colombia",AMR
ind_477,"Colombian in Medellin, Colombia",AMR
ind_1462,Bengali in Bangladesh,SAS
ind_1562,Sri Lankan Tamil in the UK,SAS
ind_534,"Punjabi in Lahore, Pakistan",SAS
ind_1537,Bengali in Bangladesh,SAS
ind_1444,Indian Telugu in the UK,SAS
ind_1612,Bengali in Bangladesh,SAS
ind_2494,"Gujarati Indians in Houston, TX",SAS
ind_1452,Indian Telugu in the UK,SAS
ind_1396,Sri Lankan Tamil in the UK,SAS
ind_1148,"Punjabi in Lahore, Pakistan",SAS
ind_1363,"Punjabi in Lahore, Pakistan",SAS
ind_2493,"Gujarati Indians in Houston, TX",SAS
ind_1568,Indian Telugu in the UK,SAS
ind_1647,Indian Telugu in the UK,SAS
ind_2449,"Gujarati Indians in Houston, TX",SAS
ind_1403,"Punjabi in Lahore, Pakistan",SAS
ind_1538,Bengali in Bangladesh,SAS
ind_1493,Indian Telugu in the UK,SAS
ind_1646,Indian Telugu in the UK,SAS
ind_1525,Bengali in Bangladesh,SAS
ind_1393,Sri Lankan Tamil in the UK,SAS
ind_1577,Indian Telugu in the UK,SAS
ind_1617,Bengali in Bangladesh,SAS
ind_1563,Sri Lankan Tamil in the UK,SAS
ind_1592,Indian Telugu in the UK,SAS
ind_1492,Indian Telugu in the UK,SAS
ind_1456,Indian Telugu in the UK,SAS
ind_2437,"Gujarati Indians in Houston, TX",SAS
ind_1518,Bengali in Bangladesh,SAS
ind_1062,"Punjabi in Lahore, Pakistan",SAS
ind_1365,"Punjabi in Lahore, Pakistan",SAS
ind_1540,Sri Lankan Tamil in the UK,SAS
ind_1543,Sri Lankan Tamil in the UK,SAS
ind_1574,Indian Telugu in the UK,SAS
ind_1467,Bengali in Bangladesh,SAS
ind_1524,Bengali in Bangladesh,SAS
ind_1361,"Punjabi in Lahore, Pakistan",SAS
ind_1627,Bengali in Bangladesh,SAS
ind_1445,Indian Telugu in the UK,SAS
ind_2498,"Gujarati Indians in Houston, TX",SAS
ind_1578,Indian Telugu in the UK,SAS
ind_1395,Sri Lankan Tamil in the UK,SAS
ind_1446,Indian Telugu in the UK,SAS
ind_1544,Sri Lankan Tamil in the UK,SAS
ind_1523,Bengali in Bangladesh,SAS
ind_1354,Bengali in Bangladesh,SAS
ind_2403,"Gujarati Indians in Houston, TX",SAS
ind_1448,Indian Telugu in the UK,SAS
ind_2500,"Gujarati Indians in Houston, TX",SAS
ind_2502,"Gujarati Indians in Houston, TX",SAS
ind_1649,Indian Telugu in the UK,SAS
ind_1618,Bengali in Bangladesh,SAS
ind_536,"Punjabi in Lahore, Pakistan",SAS
ind_1346,Bengali in Bangladesh,SAS
ind_1239,"Punjabi in Lahore, Pakistan",SAS
ind_1470,Bengali in Bangladesh,SAS
ind_2486,"Gujarati Indians in Houston, TX",SAS
ind_2415,"Gujarati Indians in Houston, TX",SAS
ind_1500,Indian Telugu in the UK,SAS
ind_2438,"Gujarati Indians in Houston, TX",SAS
ind_1382,Sri Lankan Tamil in the UK,SAS
ind_1080,"Punjabi in Lahore, Pakistan",SAS
ind_960,"Punjabi in Lahore, Pakistan",SAS
ind_1374,"Punjabi in Lahore, Pakistan",SAS
ind_2491,"Gujarati Indians in Houston, TX",SAS
ind_1487,Sri Lankan Tamil in the UK,SAS
ind_1399,"Punjabi in Lahore, Pakistan",SAS
ind_2487,"Gujarati Indians in Houston, TX",SAS
ind_1370,Sri Lankan Tamil in the UK,SAS
ind_1038,"Punjabi in Lahore, Pakistan",SAS
ind_1638,Indian Telugu in the UK,SAS
ind_2440,"Gujarati Indians in Houston, TX",SAS
ind_1241,"Punjabi in Lahore, Pakistan",SAS
ind_1471,Bengali in Bangladesh,SAS
ind_2482,"Gujarati Indians in Houston, TX",SAS
ind_1531,Bengali in Bangladesh,SAS
ind_1466,Bengali in Bangladesh,SAS
ind_1407,Indian Telugu in the UK,SAS
ind_2453,"Gujarati Indians in Houston, TX",SAS
ind_1566,Sri Lankan Tamil in the UK,SAS
ind_1477,Sri Lankan Tamil in the UK,SAS
ind_2426,"Gujarati Indians in Houston, TX",SAS
ind_1494,Indian Telugu in the UK,SAS
ind_1580,Indian Telugu in the UK,SAS
ind_1611,Bengali in Bangladesh,SAS
ind_1510,Sri Lankan Tamil in the UK,SAS
ind_1604,Indian Telugu in the UK,SAS
ind_1074,"Punjabi in Lahore, Pakistan",SAS
ind_1517,Sri Lankan Tamil in the UK,SAS
ind_1606,Sri Lankan Tamil in the UK,SAS
ind_1457,Bengali in Bangladesh,SAS
ind_1058,"Punjabi in Lahore, Pakistan",SAS
ind_1369,Sri Lankan Tamil in the UK,SAS
ind_1549,Indian Telugu in the UK,SAS
ind_1561,Sri Lankan Tamil in the UK,SAS
ind_1643,Sri Lankan Tamil in the UK,SAS
ind_1408,Indian Telugu in the UK,SAS
ind_2116,"Luhya in Webuye, Kenya",AFR
ind_1339,Mende in Sierra Leone,AFR
ind_1991,"Luhya in Webuye, Kenya",AFR
ind_1283,Mende in Sierra Leone,AFR
ind_1260,Esan in Nigeria,AFR
ind_673,African Caribbean in Barbados,AFR
ind_2104,"Luhya in Webuye, Kenya",AFR
ind_1127,Esan in Nigeria,AFR
ind_1334,Mende in Sierra Leone,AFR
ind_2092,"Luhya in Webuye, Kenya",AFR
ind_2074,"Yoruba in Ibadan, Nigeria",AFR
ind_1265,Esan in Nigeria,AFR
ind_936,African Caribbean in Barbados,AFR
ind_1301,Mende in Sierra Leone,AFR
ind_2036,"Yoruba in Ibadan, Nigeria",AFR
ind_683,African Caribbean in Barbados,AFR
ind_890,African Caribbean in Barbados,AFR
ind_1342,Mende in Sierra Leone,AFR
ind_2120,"Luhya in Webuye, Kenya",AFR
ind_1229,Esan in Nigeria,AFR
ind_2279,African Ancestry in Southwest US,AFR
ind_984,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2276,African Ancestry in Southwest US,AFR
ind_1330,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_761,African Caribbean in Barbados,AFR
ind_2065,"Yoruba in Ibadan, Nigeria",AFR
ind_2087,"Yoruba in Ibadan, Nigeria",AFR
ind_1133,Esan in Nigeria,AFR
ind_1255,Esan in Nigeria,AFR
ind_1066,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1159,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1193,Esan in Nigeria,AFR
ind_2155,"Luhya in Webuye, Kenya",AFR
ind_2252,African Ancestry in Southwest US,AFR
ind_1115,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1233,Esan in Nigeria,AFR
ind_1102,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1051,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_954,African Caribbean in Barbados,AFR
ind_1271,Esan in Nigeria,AFR
ind_1284,Mende in Sierra Leone,AFR
ind_2162,"Luhya in Webuye, Kenya",AFR
ind_2128,"Luhya in Webuye, Kenya",AFR
ind_1987,"Luhya in Webuye, Kenya",AFR
ind_2076,"Yoruba in Ibadan, Nigeria",AFR
ind_2124,"Luhya in Webuye, Kenya",AFR
ind_1158,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1340,Mende in Sierra Leone,AFR
ind_1267,Esan in Nigeria,AFR
ind_1012,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1202,Esan in Nigeria,AFR
ind_885,African Caribbean in Barbados,AFR
ind_1313,Mende in Sierra Leone,AFR
ind_1218,Esan in Nigeria,AFR
ind_2060,"Yoruba in Ibadan, Nigeria",AFR
ind_933,African Caribbean in Barbados,AFR
ind_1135,Esan in Nigeria,AFR
ind_1109,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2102,"Luhya in Webuye, Kenya",AFR
ind_1895,"Yoruba in Ibadan, Nigeria",AFR
ind_1295,Mende in Sierra Leone,AFR
ind_2119,"Luhya in Webuye, Kenya",AFR
ind_2098,"Luhya in Webuye, Kenya",AFR
ind_996,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_976,African Caribbean in Barbados,AFR
ind_1093,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2249,African Ancestry in Southwest US,AFR
ind_1247,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2164,"Luhya in Webuye, Kenya",AFR
ind_680,African Caribbean in Barbados,AFR
ind_2271,African Ancestry in Southwest US,AFR
ind_2122,"Luhya in Webuye, Kenya",AFR
ind_2290,African Ancestry in Southwest US,AFR
ind_762,African Caribbean in Barbados,AFR
ind_1268,Esan in Nigeria,AFR
ind_2132,"Luhya in Webuye, Kenya",AFR
ind_1308,Mende in Sierra Leone,AFR
ind_2135,"Luhya in Webuye, Kenya",AFR
ind_895,African Caribbean in Barbados,AFR
ind_1883,"Yoruba in Ibadan, Nigeria",AFR
ind_1896,"Yoruba in Ibadan, Nigeria",AFR
ind_1878,"Yoruba in Ibadan, Nigeria",AFR
ind_981,African Caribbean in Barbados,AFR
ind_677,African Caribbean in Barbados,AFR
ind_2289,African Ancestry in Southwest US,AFR
ind_2055,"Yoruba in Ibadan, Nigeria",AFR
ind_1140,Esan in Nigeria,AFR
ind_2284,African Ancestry in Southwest US,AFR
ind_2250,African Ancestry in Southwest US,AFR
ind_1108,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1262,Esan in Nigeria,AFR
ind_1126,Esan in Nigeria,AFR
ind_2043,"Yoruba in Ibadan, Nigeria",AFR
ind_679,African Caribbean in Barbados,AFR
ind_2191,African Ancestry in Southwest US,AFR
ind_1773,"Yoruba in Ibadan, Nigeria",AFR
ind_1256,Esan in Nigeria,AFR
ind_993,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2082,"Yoruba in Ibadan, Nigeria",AFR
ind_1177,Mende in Sierra Leone,AFR
ind_1228,Esan in Nigeria,AFR
ind_1314,Mende in Sierra Leone,AFR
ind_676,African Caribbean in Barbados,AFR
ind_2196,African Ancestry in Southwest US,AFR
ind_1179,Mende in Sierra Leone,AFR
ind_1900,"Yoruba in Ibadan, Nigeria",AFR
ind_2144,"Luhya in Webuye, Kenya",AFR
ind_1332,Mende in Sierra Leone,AFR
ind_2118,"Luhya in Webuye, Kenya",AFR
ind_2195,African Ancestry in Southwest US,AFR
ind_1212,Esan in Nigeria,AFR
ind_1901,"Yoruba in Ibadan, Nigeria",AFR
ind_1980,"Luhya in Webuye, Kenya",AFR
ind_1219,Esan in Nigeria,AFR
ind_1112,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_989,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1312,Mende in Sierra Leone,AFR
ind_2107,"Luhya in Webuye, Kenya",AFR
ind_1768,"Yoruba in Ibadan, Nigeria",AFR
ind_2093,"Luhya in Webuye, Kenya",AFR
ind_2044,"Yoruba in Ibadan, Nigeria",AFR
ind_2159,"Luhya in Webuye, Kenya",AFR
ind_1250,Esan in Nigeria,AFR
ind_1192,Esan in Nigeria,AFR
ind_2192,African Ancestry in Southwest US,AFR
ind_881,African Caribbean in Barbados,AFR
ind_952,African Caribbean in Barbados,AFR
ind_953,African Caribbean in Barbados,AFR
ind_1155,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1211,Esan in Nigeria,AFR
ind_1337,Mende in Sierra Leone,AFR
ind_2039,"Yoruba in Ibadan, Nigeria",AFR
